"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"부산광역시 사하구청",,부산광역시 사하구 장림1동 1139,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.083059,128.967457,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로356번길 56(당리동),부산광역시 사하구 당리동 439-2,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.10223555,128.9812792,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로264번길 14(괴정1동),부산광역시 사하구 괴정1동 779-4,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.100027,128.9882524,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로200번길 19 (괴정3동),부산광역시 사하구 괴정3동 260-257,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.1016426,128.9943534,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 장평로449번길 102(괴정4동),부산광역시 사하구 괴정4동 579-5,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.09951791,128.981038,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 장림시장5길 48(장림1동),부산광역시 사하구 장림1동 641-301,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.0807513,128.9663541,2019-09-17
"부산광역시 사하구청",,부산광역시 사하구 다대1동 1642,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.0528843,128.9668985,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로216번길 16(괴정1동),부산광역시 사하구 괴정3동 1025-8,생활방범,1,200,360도전방면,30,2009-05,051-220-4341,35.101208,128.9929436,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 괴정로260번길 34(괴정1동),부산광역시 사하구 괴정1동 536-23,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.09543008,128.9889653,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 장평로 433 (괴정4동),부산광역시 사하구 괴정4동 563-56,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.09662611,128.9859329,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로135번길 55(괴정2동),부산광역시 사하구 괴정2동 354-194,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.10214411,129.0032874,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 다대로385번길 32 (다대2동),부산광역시 사하구 다대2동 81-17,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.06786937,128.9798649,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 승학로131번길 1 (당리동),부산광역시 사하구 당리동 353-10,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.10390039,128.9817538,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 다대로116번길 54(신평1동),부산광역시 사하구 신평1동 128-6,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.09331999,128.9769276,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감천로157번길 3(감천1동),부산광역시 사하구 감천1동 49-14,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.0855188,129.0081295,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감내1로 175(감천2동),부산광역시 사하구 감천동 6-1604,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.095585,129.0090122,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 낙동대로264(괴정1동),부산광역시 사하구 괴정1동 747-4,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.09942863,128.988251,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 두송로26번길 10(장림2동),부산광역시 사하구 장림2동 산 39-10,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.07843314,128.9790897,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 다대로135번길 30-8(신평1동),부산광역시 사하구 신평1동 43-7,생활방범,1,200,360도전방면,30,2010-02,051-220-4341,35.0909342,128.9795453,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감내2로137(감천2동),부산광역시 사하구 감천2동 6-994,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.09817017,129.0086069,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 옥천로76번길 41(감천2동),부산광역시 사하구 감천2동 13-745,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.093123,129.0105859,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감내1로225번길 2(감천2동),부산광역시 사하구 감천2동 7-64,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.09759735,129.0094569,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감내1로175번안길 25(감천2동),부산광역시 사하구 감천2동 6-1654,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.096128,129.008295,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 감내1로 129(감천2동),부산광역시 사하구 감천2동 12-278,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.09381088,129.008031,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 사리로 68(괴정2동),부산광역시 사하구 괴정2동 213-13,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.1058002,128.9986799,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 옥천로60번길 35(감천2동),부산광역시 사하구 감천2동 13-1067,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.09181759,129.0093238,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 사리로94번길 11(괴정2동),부산광역시 사하구 괴정2동 218-40,생활방범,1,200,360도전방면,30,2010-12,051-220-4341,35.1076171,128.9988762,2019-09-17
"부산광역시 사하구청",부산광역시 사하구 옥천로101번길 10(감천2동),부산광역시 사하구 감천2동 12-276,생활방범,2,200,360도전방면,30,2010-12,051-220-4341,35.0953032,129.0100674,2019-09-17
