"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,200,고정형,30,2019-03,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
"부산광역시 사상구청",부산광역시 사상구 학감대로 242,,다목적,1,130,고정형,30,2019-01,051-310-4171,35.152422,128.991587,2019-09-25
