"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"부산광역시 서구청",부산광역시 서구 고운들로 24 (부용동2가 61-2),부산광역시 서구 부용동2가 61-2,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.10594973,129.0187682,2019-09-10
"부산광역시 서구청",부산광역시 서구 대영로86번길 47 (동대신동1가 316-4),부산광역시 서구 동대신동1가 316-4,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.10903996,129.0217353,2019-09-10
"부산광역시 서구청",부산광역시 서구 보수대로194번길 13 (동대신동2가 64),부산광역시 서구 동대신동2가 64,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.11300725,129.0218245,2019-09-10
"부산광역시 서구청",부산광역시 서구 구덕로334번길 26 (동대신동3가 355-1),부산광역시 서구 동대신동3가 355-1,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.11382567,129.0172736,2019-09-10
"부산광역시 서구청",부산광역시 서구 아미로 127 (아미동2가 196-1),부산광역시 서구 아미동2가 196-1,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.09894972,129.015499,2019-09-10
"부산광역시 서구청",부산광역시 서구 해돋이로287번길 16-1 (서대신동1가 115-5),부산광역시 서구 부민동3가 54-323,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.1021698,129.0157131,2019-09-10
"부산광역시 서구청",부산광역시 서구 고운들로 98 (서대신동1가 115-5),부산광역시 서구 서대신동1가 115-5,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.10826573,129.0164961,2019-09-10
"부산광역시 서구청",부산광역시 서구 암남로14번길 12 (암남동 300-2),부산광역시 서구 암남동 300-2,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.07925704,129.0155055,2019-09-10
"부산광역시 서구청",부산광역시 서구 남부민로10번길 20 (남부민동 673),부산광역시 서구 남부민동 673,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.08527615,129.0242051,2019-09-10
"부산광역시 서구청",부산광역시 서구 천해로13번길 58 (남부민동 609-208),부산광역시 서구 남부민동 609-208,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.08207628,129.0178683,2019-09-10
"부산광역시 서구청",부산광역시 서구 해돋이로 72 (남부민동 465-80),부산광역시 서구 남부민동 465-80,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.0852559,129.0206656,2019-09-10
"부산광역시 서구청",부산광역시 서구 암남공원로14번길 12-13 (암남동 518-6),부산광역시 서구 암남동 518-6,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.07541326,129.0144901,2019-09-10
"부산광역시 서구청",부산광역시 서구 대신로 47 (서대신동3가 627-13),부산광역시 서구 서대신동3가 627-13,다목적,1,200,360도 전방면,30,2009-02,051-240-4125,35.11434321,129.0121624,2019-09-10
"부산광역시 서구청",부산광역시 서구 까치고개로245번길 2 (토성동1가 11-36),부산광역시 서구 토성동1가 11-36,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.0997298,129.0228811,2019-09-10
"부산광역시 서구청",부산광역시 서구 충무대로 25 (암남동 313),부산광역시 서구 암남동 313,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.0782143,129.0155937,2019-09-10
"부산광역시 서구청",부산광역시 서구 대영로85번길 81-19 (동대신동3가 315),부산광역시 서구 동대신동3가 315,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.11386005,129.0175903,2019-09-10
"부산광역시 서구청",부산광역시 서구 부용로 11 (서대신동1가 63),부산광역시 서구 서대신동1가 63,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.10867838,129.0168265,2019-09-10
"부산광역시 서구청",부산광역시 서구 대영로86번길 56 (동대신동1가 348),부산광역시 서구 동대신동1가 348,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.1085708,129.0210643,2019-09-10
"부산광역시 서구청",부산광역시 서구 대티로108번길 42-1 (서대신동2가 504-9),부산광역시 서구 서대신동2가 504-9,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.10863427,129.0114562,2019-09-10
"부산광역시 서구청",부산광역시 서구 대영로45번길 56 (서대신동2가 16),부산광역시 서구 서대신동2가 16,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.11190835,129.0153005,2019-09-10
"부산광역시 서구청",부산광역시 서구 충무대로275번길 21-1 (충무동2가 4-33),부산광역시 서구 충무동2가 4-33,다목적,1,200,360도 전방면,30,2010-02,051-240-4125,35.09522108,129.0229378,2019-09-10
